orden_id,linea,producto_id,cantidad_unidades,precio_unitario,descuento_pct,new_key,es_duplicado,new_key_original,motivo_rechazo
ORD-003250,3,P-0075,2,0.0,0,ORD-003250_P-0075_3_2_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-002608,4,P-0107,13,0.0,0,ORD-002608_P-0107_4_13_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-003334,1,P-0015,-9,3.41,0,ORD-003334_P-0015_1_-9_3.41,False,,cantidad_unidades: debe ser > 0 (valor: -9)
ORD-001789,1,P-0059,-6,6.23,15,ORD-001789_P-0059_1_-6_6.23,False,,cantidad_unidades: debe ser > 0 (valor: -6)
ORD-002299,4,P-0115,-10,2.75,15,ORD-002299_P-0115_4_-10_2.75,False,,cantidad_unidades: debe ser > 0 (valor: -10)
ORD-002201,4,P-0096,12,5.23,15,ORD-002201_P-0096_4_12_5.23,True,ORD-002201_P-0096_4_12_5.23,❌ Registro duplicado (CRÍTICO - ORD-002201_P-0096_4_12_5.23 ya existe en data limpia)
ORD-005123,1,P-0017,-4,3.33,0,ORD-005123_P-0017_1_-4_3.33,False,,cantidad_unidades: debe ser > 0 (valor: -4)
ORD-002295,3,P-0094,-5,6.11,0,ORD-002295_P-0094_3_-5_6.11,False,,cantidad_unidades: debe ser > 0 (valor: -5)
ORD-005400,1,P-0029,-11,2.73,8,ORD-005400_P-0029_1_-11_2.73,False,,cantidad_unidades: debe ser > 0 (valor: -11)
ORD-003886,2,P-0106,-10,4.1,8,ORD-003886_P-0106_2_-10_4.1,False,,cantidad_unidades: debe ser > 0 (valor: -10)
ORD-003144,4,P-0101,-2,4.96,0,ORD-003144_P-0101_4_-2_4.96,False,,cantidad_unidades: debe ser > 0 (valor: -2)
ORD-001172,2,P-0057,1,0.0,15,ORD-001172_P-0057_2_1_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-001762,3,P-0038,-5,5.53,10,ORD-001762_P-0038_3_-5_5.53,False,,cantidad_unidades: debe ser > 0 (valor: -5)
ORD-005059,4,P-0088,-10,4.77,10,ORD-005059_P-0088_4_-10_4.77,False,,cantidad_unidades: debe ser > 0 (valor: -10)
ORD-001529,4,P-0097,-6,5.67,15,ORD-001529_P-0097_4_-6_5.67,False,,cantidad_unidades: debe ser > 0 (valor: -6)
ORD-002657,6,P-0105,-10,4.17,0,ORD-002657_P-0105_6_-10_4.17,False,,cantidad_unidades: debe ser > 0 (valor: -10)
ORD-005058,3,P-0061,7,0.0,0,ORD-005058_P-0061_3_7_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-003075,1,P-0035,41,0.0,0,ORD-003075_P-0035_1_41_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-004187,4,P-0036,22,0.0,10,ORD-004187_P-0036_4_22_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-003258,2,P-0048,25,0.0,10,ORD-003258_P-0048_2_25_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-003616,3,P-0069,32,0.0,8,ORD-003616_P-0069_3_32_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-004181,2,P-0058,-1,6.42,5,ORD-004181_P-0058_2_-1_6.42,False,,cantidad_unidades: debe ser > 0 (valor: -1)
ORD-001859,3,P-0066,-4,2.83,0,ORD-001859_P-0066_3_-4_2.83,False,,cantidad_unidades: debe ser > 0 (valor: -4)
ORD-001682,3,P-0062,19,0.0,0,ORD-001682_P-0062_3_19_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-001269,3,P-0057,1,0.0,0,ORD-001269_P-0057_3_1_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-002767,1,P-0067,3,6.3,15,ORD-002767_P-0067_1_3_6.3,True,ORD-002767_P-0067_1_3_6.3,❌ Registro duplicado (CRÍTICO - ORD-002767_P-0067_1_3_6.3 ya existe en data limpia)
ORD-005278,2,P-0106,14,0.0,15,ORD-005278_P-0106_2_14_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-003442,4,P-0106,2,4.44,0,ORD-003442_P-0106_4_2_4.44,True,ORD-003442_P-0106_4_2_4.44,❌ Registro duplicado (CRÍTICO - ORD-003442_P-0106_4_2_4.44 ya existe en data limpia)
ORD-002111,4,P-0031,-8,3.14,10,ORD-002111_P-0031_4_-8_3.14,False,,cantidad_unidades: debe ser > 0 (valor: -8)
ORD-001717,6,P-0023,11,0.0,0,ORD-001717_P-0023_6_11_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-003328,5,P-0037,41,0.0,10,ORD-003328_P-0037_5_41_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-001842,3,P-0058,39,0.0,0,ORD-001842_P-0058_3_39_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-001330,2,P-0007,35,0.0,5,ORD-001330_P-0007_2_35_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-002455,2,P-0073,-6,5.06,0,ORD-002455_P-0073_2_-6_5.06,False,,cantidad_unidades: debe ser > 0 (valor: -6)
ORD-002977,2,P-0027,34,0.0,0,ORD-002977_P-0027_2_34_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-000942,2,P-0063,22,0.0,0,ORD-000942_P-0063_2_22_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-000193,3,P-0063,32,0.0,10,ORD-000193_P-0063_3_32_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-000137,5,P-0023,44,0.0,0,ORD-000137_P-0023_5_44_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-002135,1,P-0089,8,0.0,5,ORD-002135_P-0089_1_8_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-005329,2,P-0022,47,0.0,0,ORD-005329_P-0022_2_47_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-002246,1,P-0056,42,0.0,0,ORD-002246_P-0056_1_42_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-003923,4,P-0073,20,0.0,0,ORD-003923_P-0073_4_20_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-003306,2,P-0071,42,8.39,10,ORD-003306_P-0071_2_42_8.39,True,ORD-003306_P-0071_2_42_8.39,❌ Registro duplicado (CRÍTICO - ORD-003306_P-0071_2_42_8.39 ya existe en data limpia)
ORD-003799,4,P-0045,-3,6.36,5,ORD-003799_P-0045_4_-3_6.36,False,,cantidad_unidades: debe ser > 0 (valor: -3)
ORD-001338,3,P-0089,-7,7.04,0,ORD-001338_P-0089_3_-7_7.04,False,,cantidad_unidades: debe ser > 0 (valor: -7)
ORD-005403,6,P-0015,-6,3.27,10,ORD-005403_P-0015_6_-6_3.27,False,,cantidad_unidades: debe ser > 0 (valor: -6)
ORD-001387,5,P-0084,37,0.0,0,ORD-001387_P-0084_5_37_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-001997,3,P-0099,19,0.0,15,ORD-001997_P-0099_3_19_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-004891,5,P-0052,9,0.0,0,ORD-004891_P-0052_5_9_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-000632,1,P-0064,23,5.86,0,ORD-000632_P-0064_1_23_5.86,True,ORD-000632_P-0064_1_23_5.86,❌ Registro duplicado (CRÍTICO - ORD-000632_P-0064_1_23_5.86 ya existe en data limpia)
ORD-003306,1,P-0059,36,0.0,0,ORD-003306_P-0059_1_36_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-000522,3,P-0033,23,0.0,10,ORD-000522_P-0033_3_23_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-004996,3,P-0068,32,0.0,5,ORD-004996_P-0068_3_32_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-000196,1,P-0088,30,0.0,15,ORD-000196_P-0088_1_30_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-003165,4,P-0004,-6,5.76,8,ORD-003165_P-0004_4_-6_5.76,False,,cantidad_unidades: debe ser > 0 (valor: -6)
ORD-004123,1,P-0038,-7,5.67,10,ORD-004123_P-0038_1_-7_5.67,False,,cantidad_unidades: debe ser > 0 (valor: -7)
ORD-001796,1,P-0027,21,0.0,0,ORD-001796_P-0027_1_21_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-005512,2,P-0056,9,4.69,0,ORD-005512_P-0056_2_9_4.69,True,ORD-005512_P-0056_2_9_4.69,❌ Registro duplicado (CRÍTICO - ORD-005512_P-0056_2_9_4.69 ya existe en data limpia)
ORD-002333,3,P-0042,43,0.0,8,ORD-002333_P-0042_3_43_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-005514,6,P-0054,42,0.0,0,ORD-005514_P-0054_6_42_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-001017,3,P-0042,-6,2.51,8,ORD-001017_P-0042_3_-6_2.51,False,,cantidad_unidades: debe ser > 0 (valor: -6)
ORD-001188,6,P-0053,-4,7.77,5,ORD-001188_P-0053_6_-4_7.77,False,,cantidad_unidades: debe ser > 0 (valor: -4)
ORD-000014,1,P-0114,19,0.0,0,ORD-000014_P-0114_1_19_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-000241,5,P-0027,-7,3.86,15,ORD-000241_P-0027_5_-7_3.86,False,,cantidad_unidades: debe ser > 0 (valor: -7)
ORD-004512,3,P-0015,2,0.0,0,ORD-004512_P-0015_3_2_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-003858,2,P-0032,2,0.0,5,ORD-003858_P-0032_2_2_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-000376,4,P-0106,38,4.14,0,ORD-000376_P-0106_4_38_4.14,True,ORD-000376_P-0106_4_38_4.14,❌ Registro duplicado (CRÍTICO - ORD-000376_P-0106_4_38_4.14 ya existe en data limpia)
ORD-000634,2,P-0031,-6,3.13,0,ORD-000634_P-0031_2_-6_3.13,False,,cantidad_unidades: debe ser > 0 (valor: -6)
ORD-000623,1,P-0003,30,0.0,5,ORD-000623_P-0003_1_30_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-001097,3,P-0025,-9,3.07,15,ORD-001097_P-0025_3_-9_3.07,False,,cantidad_unidades: debe ser > 0 (valor: -9)
ORD-003541,1,P-0043,46,0.0,15,ORD-003541_P-0043_1_46_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-005140,6,P-0075,7,0.0,8,ORD-005140_P-0075_6_7_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-002788,1,P-0016,-1,5.26,15,ORD-002788_P-0016_1_-1_5.26,False,,cantidad_unidades: debe ser > 0 (valor: -1)
ORD-002534,2,P-0085,-12,7.51,0,ORD-002534_P-0085_2_-12_7.51,False,,cantidad_unidades: debe ser > 0 (valor: -12)
ORD-003361,3,P-0043,-2,4.66,0,ORD-003361_P-0043_3_-2_4.66,False,,cantidad_unidades: debe ser > 0 (valor: -2)
ORD-000331,1,P-0065,10,6.05,0,ORD-000331_P-0065_1_10_6.05,True,ORD-000331_P-0065_1_10_6.05,❌ Registro duplicado (CRÍTICO - ORD-000331_P-0065_1_10_6.05 ya existe en data limpia)
ORD-003563,5,P-0010,-2,6.19,0,ORD-003563_P-0010_5_-2_6.19,False,,cantidad_unidades: debe ser > 0 (valor: -2)
ORD-001179,6,P-0023,10,0.0,10,ORD-001179_P-0023_6_10_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-004549,1,P-0027,12,3.93,0,ORD-004549_P-0027_1_12_3.93,True,ORD-004549_P-0027_1_12_3.93,❌ Registro duplicado (CRÍTICO - ORD-004549_P-0027_1_12_3.93 ya existe en data limpia)
ORD-002082,3,P-0065,9,5.69,8,ORD-002082_P-0065_3_9_5.69,True,ORD-002082_P-0065_3_9_5.69,❌ Registro duplicado (CRÍTICO - ORD-002082_P-0065_3_9_5.69 ya existe en data limpia)
ORD-002552,6,P-0106,36,0.0,0,ORD-002552_P-0106_6_36_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-001930,3,P-0101,18,4.66,0,ORD-001930_P-0101_3_18_4.66,True,ORD-001930_P-0101_3_18_4.66,❌ Registro duplicado (CRÍTICO - ORD-001930_P-0101_3_18_4.66 ya existe en data limpia)
ORD-003930,1,P-0086,16,0.0,0,ORD-003930_P-0086_1_16_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-001663,4,P-0045,25,0.0,0,ORD-001663_P-0045_4_25_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-002974,1,P-0002,45,0.0,8,ORD-002974_P-0002_1_45_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-004289,2,P-0050,-8,4.41,0,ORD-004289_P-0050_2_-8_4.41,False,,cantidad_unidades: debe ser > 0 (valor: -8)
ORD-005503,2,P-0033,11,0.0,8,ORD-005503_P-0033_2_11_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-005496,1,P-0043,25,0.0,0,ORD-005496_P-0043_1_25_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-003636,1,P-0102,-2,3.43,10,ORD-003636_P-0102_1_-2_3.43,False,,cantidad_unidades: debe ser > 0 (valor: -2)
ORD-003780,1,P-0075,31,0.0,0,ORD-003780_P-0075_1_31_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-004976,1,P-0120,30,4.98,0,ORD-004976_P-0120_1_30_4.98,True,ORD-004976_P-0120_1_30_4.98,❌ Registro duplicado (CRÍTICO - ORD-004976_P-0120_1_30_4.98 ya existe en data limpia)
ORD-003642,4,P-0023,2,0.0,0,ORD-003642_P-0023_4_2_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-002608,2,P-0056,-4,4.77,0,ORD-002608_P-0056_2_-4_4.77,False,,cantidad_unidades: debe ser > 0 (valor: -4)
ORD-005066,1,P-0118,3,4.84,0,ORD-005066_P-0118_1_3_4.84,True,ORD-005066_P-0118_1_3_4.84,❌ Registro duplicado (CRÍTICO - ORD-005066_P-0118_1_3_4.84 ya existe en data limpia)
ORD-002278,1,P-0039,42,0.0,10,ORD-002278_P-0039_1_42_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-004862,3,P-0004,-1,5.75,0,ORD-004862_P-0004_3_-1_5.75,False,,cantidad_unidades: debe ser > 0 (valor: -1)
ORD-003147,2,P-0014,17,3.4,0,ORD-003147_P-0014_2_17_3.4,True,ORD-003147_P-0014_2_17_3.4,❌ Registro duplicado (CRÍTICO - ORD-003147_P-0014_2_17_3.4 ya existe en data limpia)
ORD-001150,1,P-0056,16,0.0,8,ORD-001150_P-0056_1_16_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-004887,6,P-0018,-9,2.88,0,ORD-004887_P-0018_6_-9_2.88,False,,cantidad_unidades: debe ser > 0 (valor: -9)
ORD-003878,2,P-0029,-9,2.77,0,ORD-003878_P-0029_2_-9_2.77,False,,cantidad_unidades: debe ser > 0 (valor: -9)
ORD-004823,4,P-0120,22,0.0,0,ORD-004823_P-0120_4_22_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-003614,2,P-0017,10,3.51,8,ORD-003614_P-0017_2_10_3.51,True,ORD-003614_P-0017_2_10_3.51,❌ Registro duplicado (CRÍTICO - ORD-003614_P-0017_2_10_3.51 ya existe en data limpia)
ORD-004347,1,P-0038,-4,5.38,8,ORD-004347_P-0038_1_-4_5.38,False,,cantidad_unidades: debe ser > 0 (valor: -4)
ORD-003561,2,P-0014,-12,3.28,10,ORD-003561_P-0014_2_-12_3.28,False,,cantidad_unidades: debe ser > 0 (valor: -12)
ORD-004757,3,P-0025,17,0.0,0,ORD-004757_P-0025_3_17_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-000487,4,P-0095,-1,3.93,8,ORD-000487_P-0095_4_-1_3.93,False,,cantidad_unidades: debe ser > 0 (valor: -1)
ORD-004872,5,P-0080,-2,4.51,8,ORD-004872_P-0080_5_-2_4.51,False,,cantidad_unidades: debe ser > 0 (valor: -2)
ORD-005213,4,P-0036,20,0.0,5,ORD-005213_P-0036_4_20_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-005400,4,P-0049,40,0.0,8,ORD-005400_P-0049_4_40_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-005340,1,P-0053,23,7.75,0,ORD-005340_P-0053_1_23_7.75,True,ORD-005340_P-0053_1_23_7.75,❌ Registro duplicado (CRÍTICO - ORD-005340_P-0053_1_23_7.75 ya existe en data limpia)
ORD-003106,6,P-0110,-6,4.07,8,ORD-003106_P-0110_6_-6_4.07,False,,cantidad_unidades: debe ser > 0 (valor: -6)
ORD-002478,1,P-0106,-2,4.16,0,ORD-002478_P-0106_1_-2_4.16,False,,cantidad_unidades: debe ser > 0 (valor: -2)
ORD-004952,1,P-0999,-7,3.13,8,ORD-004952_P-0999_1_-7_3.13,False,,cantidad_unidades: debe ser > 0 (valor: -7)
ORD-003328,1,P-0050,17,0.0,15,ORD-003328_P-0050_1_17_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-001811,1,P-0012,-2,2.97,0,ORD-001811_P-0012_1_-2_2.97,False,,cantidad_unidades: debe ser > 0 (valor: -2)
ORD-000189,3,P-0068,4,1.54,10,ORD-000189_P-0068_3_4_1.54,True,ORD-000189_P-0068_3_4_1.54,❌ Registro duplicado (CRÍTICO - ORD-000189_P-0068_3_4_1.54 ya existe en data limpia)
ORD-002890,1,P-0032,4,0.0,0,ORD-002890_P-0032_1_4_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-001205,1,P-0049,42,2.38,0,ORD-001205_P-0049_1_42_2.38,True,ORD-001205_P-0049_1_42_2.38,❌ Registro duplicado (CRÍTICO - ORD-001205_P-0049_1_42_2.38 ya existe en data limpia)
ORD-000906,3,P-0107,1,5.35,8,ORD-000906_P-0107_3_1_5.35,True,ORD-000906_P-0107_3_1_5.35,❌ Registro duplicado (CRÍTICO - ORD-000906_P-0107_3_1_5.35 ya existe en data limpia)
ORD-002734,3,P-0081,26,0.0,0,ORD-002734_P-0081_3_26_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-005366,6,P-0036,42,0.0,0,ORD-005366_P-0036_6_42_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-004538,3,P-0030,47,0.0,0,ORD-004538_P-0030_3_47_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-001889,4,P-0053,24,7.54,0,ORD-001889_P-0053_4_24_7.54,True,ORD-001889_P-0053_4_24_7.54,❌ Registro duplicado (CRÍTICO - ORD-001889_P-0053_4_24_7.54 ya existe en data limpia)
ORD-002494,5,P-0080,11,4.53,0,ORD-002494_P-0080_5_11_4.53,True,ORD-002494_P-0080_5_11_4.53,❌ Registro duplicado (CRÍTICO - ORD-002494_P-0080_5_11_4.53 ya existe en data limpia)
ORD-002767,3,P-0086,24,6.58,10,ORD-002767_P-0086_3_24_6.58,True,ORD-002767_P-0086_3_24_6.58,❌ Registro duplicado (CRÍTICO - ORD-002767_P-0086_3_24_6.58 ya existe en data limpia)
ORD-004976,2,P-0019,26,3.39,0,ORD-004976_P-0019_2_26_3.39,True,ORD-004976_P-0019_2_26_3.39,❌ Registro duplicado (CRÍTICO - ORD-004976_P-0019_2_26_3.39 ya existe en data limpia)
ORD-004489,2,P-0032,2,0.0,0,ORD-004489_P-0032_2_2_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-003574,1,P-0038,9,0.0,0,ORD-003574_P-0038_1_9_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-005413,2,P-0026,14,0.0,0,ORD-005413_P-0026_2_14_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-000154,4,P-0035,-8,6.19,5,ORD-000154_P-0035_4_-8_6.19,False,,cantidad_unidades: debe ser > 0 (valor: -8)
ORD-000885,3,P-0020,5,0.0,8,ORD-000885_P-0020_3_5_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-004025,4,P-0083,-8,3.53,15,ORD-004025_P-0083_4_-8_3.53,False,,cantidad_unidades: debe ser > 0 (valor: -8)
ORD-002359,3,P-0069,-2,1.43,0,ORD-002359_P-0069_3_-2_1.43,False,,cantidad_unidades: debe ser > 0 (valor: -2)
ORD-000270,4,P-0027,25,0.0,8,ORD-000270_P-0027_4_25_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-003689,1,P-0108,-9,2.24,0,ORD-003689_P-0108_1_-9_2.24,False,,cantidad_unidades: debe ser > 0 (valor: -9)
ORD-004483,4,P-0999,35,0.0,0,ORD-004483_P-0999_4_35_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-002603,2,P-0042,-9,2.42,8,ORD-002603_P-0042_2_-9_2.42,False,,cantidad_unidades: debe ser > 0 (valor: -9)
ORD-000812,3,P-0119,9,4.43,0,ORD-000812_P-0119_3_9_4.43,True,ORD-000812_P-0119_3_9_4.43,❌ Registro duplicado (CRÍTICO - ORD-000812_P-0119_3_9_4.43 ya existe en data limpia)
ORD-002362,2,P-0048,-12,1.58,5,ORD-002362_P-0048_2_-12_1.58,False,,cantidad_unidades: debe ser > 0 (valor: -12)
ORD-001380,4,P-0103,27,3.67,0,ORD-001380_P-0103_4_27_3.67,True,ORD-001380_P-0103_4_27_3.67,❌ Registro duplicado (CRÍTICO - ORD-001380_P-0103_4_27_3.67 ya existe en data limpia)
ORD-000825,4,P-0029,17,2.85,15,ORD-000825_P-0029_4_17_2.85,True,ORD-000825_P-0029_4_17_2.85,❌ Registro duplicado (CRÍTICO - ORD-000825_P-0029_4_17_2.85 ya existe en data limpia)
ORD-001121,3,P-0084,42,4.08,0,ORD-001121_P-0084_3_42_4.08,True,ORD-001121_P-0084_3_42_4.08,❌ Registro duplicado (CRÍTICO - ORD-001121_P-0084_3_42_4.08 ya existe en data limpia)
ORD-001466,1,P-0114,10,0.0,15,ORD-001466_P-0114_1_10_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-005233,2,P-0109,6,0.0,15,ORD-005233_P-0109_2_6_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-003135,2,P-0113,43,0.0,0,ORD-003135_P-0113_2_43_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-002420,4,P-0078,21,7.97,0,ORD-002420_P-0078_4_21_7.97,True,ORD-002420_P-0078_4_21_7.97,❌ Registro duplicado (CRÍTICO - ORD-002420_P-0078_4_21_7.97 ya existe en data limpia)
ORD-002064,2,P-0013,-1,2.85,0,ORD-002064_P-0013_2_-1_2.85,False,,cantidad_unidades: debe ser > 0 (valor: -1)
ORD-005021,5,P-0050,27,0.0,10,ORD-005021_P-0050_5_27_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-003445,1,P-0030,26,0.0,10,ORD-003445_P-0030_1_26_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-003259,2,P-0115,-5,2.82,0,ORD-003259_P-0115_2_-5_2.82,False,,cantidad_unidades: debe ser > 0 (valor: -5)
ORD-005142,1,P-0018,-7,2.85,5,ORD-005142_P-0018_1_-7_2.85,False,,cantidad_unidades: debe ser > 0 (valor: -7)
ORD-000352,1,P-0098,12,0.0,5,ORD-000352_P-0098_1_12_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-000812,4,P-0045,45,6.27,0,ORD-000812_P-0045_4_45_6.27,True,ORD-000812_P-0045_4_45_6.27,❌ Registro duplicado (CRÍTICO - ORD-000812_P-0045_4_45_6.27 ya existe en data limpia)
ORD-004347,3,P-0098,-4,4.66,8,ORD-004347_P-0098_3_-4_4.66,False,,cantidad_unidades: debe ser > 0 (valor: -4)
ORD-000812,6,P-0034,44,7.48,0,ORD-000812_P-0034_6_44_7.48,True,ORD-000812_P-0034_6_44_7.48,❌ Registro duplicado (CRÍTICO - ORD-000812_P-0034_6_44_7.48 ya existe en data limpia)
ORD-000585,4,P-0034,10,0.0,0,ORD-000585_P-0034_4_10_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
