orden_id,linea,producto_id,cantidad_unidades,precio_unitario,descuento_pct,new_key,es_duplicado,new_key_original
ORD-004754,2,P-0017,29,3.31,0,ORD-004754_P-0017_2_29_3.31,False,
ORD-001883,4,P-0117,32,4.33,0,ORD-001883_P-0117_4_32_4.33,False,
ORD-001740,2,P-0118,41,4.78,0,ORD-001740_P-0118_2_41_4.78,False,
ORD-001857,4,P-0095,7,4.15,0,ORD-001857_P-0095_4_7_4.15,False,
ORD-000435,5,P-0068,1,1.5,5,ORD-000435_P-0068_5_1_1.5,False,
ORD-002102,3,P-0100,7,5.25,10,ORD-002102_P-0100_3_7_5.25,False,
ORD-002300,3,P-0055,26,4.9,0,ORD-002300_P-0055_3_26_4.9,False,
ORD-001991,5,P-0113,41,2.61,10,ORD-001991_P-0113_5_41_2.61,False,
ORD-000760,2,P-0114,11,4.07,15,ORD-000760_P-0114_2_11_4.07,False,
ORD-003494,6,P-0010,40,6.17,15,ORD-003494_P-0010_6_40_6.17,False,
ORD-002568,2,P-0103,25,3.41,15,ORD-002568_P-0103_2_25_3.41,False,
ORD-005185,3,P-0050,22,4.52,5,ORD-005185_P-0050_3_22_4.52,False,
ORD-005005,1,P-0044,5,1.94,0,ORD-005005_P-0044_1_5_1.94,False,
ORD-005510,1,P-0009,11,4.02,0,ORD-005510_P-0009_1_11_4.02,False,
ORD-003246,5,P-0067,25,5.97,0,ORD-003246_P-0067_5_25_5.97,False,
ORD-002212,3,P-0107,45,5.39,0,ORD-002212_P-0107_3_45_5.39,False,
ORD-005310,6,P-0070,24,1.52,0,ORD-005310_P-0070_6_24_1.52,False,
ORD-001566,3,P-0033,24,8.15,0,ORD-001566_P-0033_3_24_8.15,False,
ORD-004549,1,P-0027,12,3.93,0,ORD-004549_P-0027_1_12_3.93,False,
ORD-003838,5,P-0084,18,4.02,0,ORD-003838_P-0084_5_18_4.02,False,
ORD-003487,2,P-0011,40,1.56,0,ORD-003487_P-0011_2_40_1.56,False,
ORD-002365,1,P-0061,13,5.27,5,ORD-002365_P-0061_1_13_5.27,False,
ORD-002201,4,P-0096,12,5.23,15,ORD-002201_P-0096_4_12_5.23,False,
ORD-000774,4,P-0111,28,3.97,0,ORD-000774_P-0111_4_28_3.97,False,
ORD-000522,6,P-0116,10,3.91,10,ORD-000522_P-0116_6_10_3.91,False,
ORD-004086,4,P-0113,27,2.8,15,ORD-004086_P-0113_4_27_2.8,False,
ORD-003272,1,P-0033,19,7.6,5,ORD-003272_P-0033_1_19_7.6,False,
ORD-001930,4,P-0048,42,1.67,8,ORD-001930_P-0048_4_42_1.67,False,
ORD-005242,6,P-0025,45,2.87,5,ORD-005242_P-0025_6_45_2.87,False,
ORD-000815,2,P-0040,47,6.3,0,ORD-000815_P-0040_2_47_6.3,False,
ORD-001984,2,P-0062,13,2.4,8,ORD-001984_P-0062_2_13_2.4,False,
ORD-000246,2,P-0007,46,3.6,0,ORD-000246_P-0007_2_46_3.6,False,
ORD-005121,2,P-0026,18,8.68,0,ORD-005121_P-0026_2_18_8.68,False,
ORD-003965,1,P-0044,41,1.95,15,ORD-003965_P-0044_1_41_1.95,False,
ORD-004295,3,P-0011,9,1.55,8,ORD-004295_P-0011_3_9_1.55,False,
ORD-000592,4,P-0091,30,3.61,0,ORD-000592_P-0091_4_30_3.61,False,
ORD-003909,2,P-0119,19,4.59,0,ORD-003909_P-0119_2_19_4.59,False,
ORD-003087,1,P-0019,8,3.42,0,ORD-003087_P-0019_1_8_3.42,False,
ORD-001177,2,P-0062,18,2.42,0,ORD-001177_P-0062_2_18_2.42,False,
ORD-000630,2,P-0080,9,4.63,0,ORD-000630_P-0080_2_9_4.63,False,
ORD-001202,5,P-0009,11,3.76,0,ORD-001202_P-0009_5_11_3.76,False,
ORD-000966,1,P-0039,23,6.49,0,ORD-000966_P-0039_1_23_6.49,False,
ORD-004156,2,P-0103,29,3.58,0,ORD-004156_P-0103_2_29_3.58,False,
ORD-000600,2,P-0079,5,6.83,5,ORD-000600_P-0079_2_5_6.83,False,
ORD-000443,2,P-0097,12,5.57,5,ORD-000443_P-0097_2_12_5.57,False,
ORD-001084,3,P-0014,29,3.18,0,ORD-001084_P-0014_3_29_3.18,False,
ORD-002638,1,P-0037,24,7.17,15,ORD-002638_P-0037_1_24_7.17,False,
ORD-001507,1,P-0102,11,3.18,0,ORD-001507_P-0102_1_11_3.18,False,
ORD-002354,2,P-0014,9,3.17,15,ORD-002354_P-0014_2_9_3.17,False,
ORD-001063,1,P-0088,23,4.64,0,ORD-001063_P-0088_1_23_4.64,False,
ORD-005074,2,P-0060,38,4.45,10,ORD-005074_P-0060_2_38_4.45,False,
ORD-000261,6,P-0011,21,1.62,0,ORD-000261_P-0011_6_21_1.62,False,
ORD-001713,3,P-0045,42,6.23,5,ORD-001713_P-0045_3_42_6.23,False,
ORD-000800,6,P-0076,36,2.28,10,ORD-000800_P-0076_6_36_2.28,False,
ORD-003319,1,P-0056,35,4.85,15,ORD-003319_P-0056_1_35_4.85,False,
ORD-001243,1,P-0009,42,3.98,10,ORD-001243_P-0009_1_42_3.98,False,
ORD-003711,1,P-0110,10,4.29,0,ORD-003711_P-0110_1_10_4.29,False,
ORD-002431,5,P-0002,19,7.91,8,ORD-002431_P-0002_5_19_7.91,False,
ORD-004416,3,P-0082,21,5.16,10,ORD-004416_P-0082_3_21_5.16,False,
ORD-001920,6,P-0072,38,2.76,15,ORD-001920_P-0072_6_38_2.76,False,
ORD-000174,1,P-0066,24,2.65,0,ORD-000174_P-0066_1_24_2.65,False,
ORD-001334,2,P-0071,15,8.93,15,ORD-001334_P-0071_2_15_8.93,False,
ORD-004995,1,P-0002,18,8.24,10,ORD-004995_P-0002_1_18_8.24,False,
ORD-002304,5,P-0022,27,1.69,5,ORD-002304_P-0022_5_27_1.69,False,
ORD-005117,1,P-0103,4,3.73,5,ORD-005117_P-0103_1_4_3.73,False,
ORD-004070,1,P-0076,12,2.34,0,ORD-004070_P-0076_1_12_2.34,False,
ORD-001566,2,P-0070,26,1.54,5,ORD-001566_P-0070_2_26_1.54,False,
ORD-000618,2,P-0027,38,3.84,0,ORD-000618_P-0027_2_38_3.84,False,
ORD-005172,2,P-0064,16,5.85,8,ORD-005172_P-0064_2_16_5.85,False,
ORD-000368,1,P-0075,8,5.81,8,ORD-000368_P-0075_1_8_5.81,False,
ORD-003348,1,P-0055,41,5.2,0,ORD-003348_P-0055_1_41_5.2,False,
ORD-000682,1,P-0064,13,5.86,0,ORD-000682_P-0064_1_13_5.86,False,
ORD-004543,2,P-0082,2,5.44,10,ORD-004543_P-0082_2_2_5.44,False,
ORD-004920,5,P-0043,6,4.98,8,ORD-004920_P-0043_5_6_4.98,False,
ORD-000816,1,P-0047,17,6.47,15,ORD-000816_P-0047_1_17_6.47,False,
ORD-001976,1,P-0106,30,4.32,5,ORD-001976_P-0106_1_30_4.32,False,
ORD-001120,2,P-0104,34,3.8,0,ORD-001120_P-0104_2_34_3.8,False,
ORD-002453,3,P-0108,1,2.19,0,ORD-002453_P-0108_3_1_2.19,False,
ORD-001785,1,P-0010,20,6.26,0,ORD-001785_P-0010_1_20_6.26,False,
ORD-003842,1,P-0107,24,5.33,5,ORD-003842_P-0107_1_24_5.33,False,
ORD-003439,2,P-0089,44,6.97,15,ORD-003439_P-0089_2_44_6.97,False,
ORD-001541,4,P-0094,23,6.0,0,ORD-001541_P-0094_4_23_6.0,False,
ORD-003913,1,P-0045,7,5.9,10,ORD-003913_P-0045_1_7_5.9,False,
ORD-001261,1,P-0038,44,5.47,5,ORD-001261_P-0038_1_44_5.47,False,
ORD-002645,6,P-0066,13,2.64,15,ORD-002645_P-0066_6_13_2.64,False,
ORD-002582,3,P-0111,31,3.69,0,ORD-002582_P-0111_3_31_3.69,False,
ORD-004600,3,P-0052,21,3.91,0,ORD-004600_P-0052_3_21_3.91,False,
ORD-001137,1,P-0044,2,1.96,10,ORD-001137_P-0044_1_2_1.96,False,
ORD-002222,2,P-0062,3,2.5,0,ORD-002222_P-0062_2_3_2.5,False,
ORD-003188,6,P-0103,24,3.56,8,ORD-003188_P-0103_6_24_3.56,False,
ORD-001776,3,P-0099,27,4.63,0,ORD-001776_P-0099_3_27_4.63,False,
ORD-004657,6,P-0033,20,7.82,0,ORD-004657_P-0033_6_20_7.82,False,
ORD-004587,3,P-0019,38,3.51,5,ORD-004587_P-0019_3_38_3.51,False,
ORD-005433,3,P-0104,10,3.93,0,ORD-005433_P-0104_3_10_3.93,False,
ORD-001590,1,P-0097,40,5.56,0,ORD-001590_P-0097_1_40_5.56,False,
ORD-005022,2,P-0115,13,2.67,10,ORD-005022_P-0115_2_13_2.67,False,
ORD-002636,2,P-0102,11,3.3,0,ORD-002636_P-0102_2_11_3.3,False,
ORD-004380,4,P-0063,24,4.73,0,ORD-004380_P-0063_4_24_4.73,False,
ORD-004818,1,P-0069,16,1.46,0,ORD-004818_P-0069_1_16_1.46,False,
ORD-004969,3,P-0053,19,7.52,15,ORD-004969_P-0053_3_19_7.52,False,
ORD-004319,6,P-0045,25,6.09,5,ORD-004319_P-0045_6_25_6.09,False,
ORD-001843,6,P-0060,23,4.2,5,ORD-001843_P-0060_6_23_4.2,False,
ORD-005332,2,P-0107,7,5.15,0,ORD-005332_P-0107_2_7_5.15,False,
ORD-002370,3,P-0025,36,3.06,10,ORD-002370_P-0025_3_36_3.06,False,
ORD-000189,3,P-0068,4,1.54,10,ORD-000189_P-0068_3_4_1.54,False,
ORD-002466,4,P-0079,4,6.71,8,ORD-002466_P-0079_4_4_6.71,False,
ORD-003902,4,P-0015,35,3.26,0,ORD-003902_P-0015_4_35_3.26,False,
ORD-000518,2,P-0050,22,4.34,8,ORD-000518_P-0050_2_22_4.34,False,
ORD-005333,6,P-0054,44,4.83,10,ORD-005333_P-0054_6_44_4.83,False,
ORD-002540,3,P-0064,45,6.39,8,ORD-002540_P-0064_3_45_6.39,False,
ORD-000781,3,P-0002,6,8.47,0,ORD-000781_P-0002_3_6_8.47,False,
ORD-003689,3,P-0077,20,3.53,0,ORD-003689_P-0077_3_20_3.53,False,
ORD-000504,1,P-0085,5,7.49,10,ORD-000504_P-0085_1_5_7.49,False,
ORD-003311,1,P-0073,11,5.04,0,ORD-003311_P-0073_1_11_5.04,False,
ORD-001894,5,P-0084,7,4.21,5,ORD-001894_P-0084_5_7_4.21,False,
ORD-005202,2,P-0114,29,4.0,0,ORD-005202_P-0114_2_29_4.0,False,
ORD-003304,6,P-0016,27,5.03,5,ORD-003304_P-0016_6_27_5.03,False,
ORD-005307,1,P-0120,5,5.04,0,ORD-005307_P-0120_1_5_5.04,False,
ORD-003614,2,P-0017,10,3.51,8,ORD-003614_P-0017_2_10_3.51,False,
ORD-004532,1,P-0019,40,3.62,15,ORD-004532_P-0019_1_40_3.62,False,
ORD-004840,1,P-0034,38,7.49,0,ORD-004840_P-0034_1_38_7.49,False,
ORD-003325,5,P-0079,34,6.33,5,ORD-003325_P-0079_5_34_6.33,False,
ORD-005082,5,P-0113,41,2.58,5,ORD-005082_P-0113_5_41_2.58,False,
ORD-000419,1,P-0050,38,4.22,8,ORD-000419_P-0050_1_38_4.22,False,
ORD-004634,4,P-0012,5,3.08,0,ORD-004634_P-0012_4_5_3.08,False,
ORD-004686,3,P-0086,8,6.5,0,ORD-004686_P-0086_3_8_6.5,False,
ORD-002717,1,P-0050,1,4.52,0,ORD-002717_P-0050_1_1_4.52,False,
ORD-004468,6,P-0062,18,2.46,8,ORD-004468_P-0062_6_18_2.46,False,
ORD-002037,3,P-0111,19,3.82,5,ORD-002037_P-0111_3_19_3.82,False,
ORD-002547,4,P-0089,31,6.75,0,ORD-002547_P-0089_4_31_6.75,False,
ORD-003002,3,P-0101,26,4.79,5,ORD-003002_P-0101_3_26_4.79,False,
ORD-003281,5,P-0008,30,3.75,15,ORD-003281_P-0008_5_30_3.75,False,
ORD-003248,1,P-0119,28,4.27,0,ORD-003248_P-0119_1_28_4.27,False,
ORD-004180,2,P-0081,21,7.51,8,ORD-004180_P-0081_2_21_7.51,False,
ORD-001851,4,P-0074,37,7.27,8,ORD-001851_P-0074_4_37_7.27,False,
ORD-003917,1,P-0045,39,6.24,15,ORD-003917_P-0045_1_39_6.24,False,
ORD-002355,4,P-0084,12,4.13,0,ORD-002355_P-0084_4_12_4.13,False,
ORD-002684,3,P-0018,7,2.86,5,ORD-002684_P-0018_3_7_2.86,False,
ORD-000047,1,P-0015,8,3.28,15,ORD-000047_P-0015_1_8_3.28,False,
ORD-003967,1,P-0068,46,1.47,0,ORD-003967_P-0068_1_46_1.47,False,
ORD-003656,3,P-0120,37,4.67,0,ORD-003656_P-0120_3_37_4.67,False,
ORD-000044,3,P-0095,37,3.82,5,ORD-000044_P-0095_3_37_3.82,False,
ORD-001452,3,P-0053,21,7.39,15,ORD-001452_P-0053_3_21_7.39,False,
ORD-004130,2,P-0021,1,3.88,15,ORD-004130_P-0021_2_1_3.88,False,
ORD-004248,1,P-0103,48,3.42,0,ORD-004248_P-0103_1_48_3.42,False,
ORD-003419,1,P-0105,31,4.04,10,ORD-003419_P-0105_1_31_4.04,False,
ORD-003432,5,P-0040,23,6.36,10,ORD-003432_P-0040_5_23_6.36,False,
ORD-001405,1,P-0095,1,3.98,5,ORD-001405_P-0095_1_1_3.98,False,
ORD-003730,1,P-0096,45,4.97,5,ORD-003730_P-0096_1_45_4.97,False,
ORD-002323,3,P-0009,5,4.1,5,ORD-002323_P-0009_3_5_4.1,False,
ORD-003718,2,P-0011,27,1.63,10,ORD-003718_P-0011_2_27_1.63,False,
ORD-003881,6,P-0083,34,3.74,0,ORD-003881_P-0083_6_34_3.74,False,
ORD-003320,4,P-0061,43,5.24,0,ORD-003320_P-0061_4_43_5.24,False,
ORD-004454,2,P-0998,25,2.27,15,ORD-004454_P-0998_2_25_2.27,False,
ORD-002170,1,P-0088,3,4.64,15,ORD-002170_P-0088_1_3_4.64,False,
ORD-005301,5,P-0042,47,2.52,0,ORD-005301_P-0042_5_47_2.52,False,
ORD-004761,3,P-0053,6,7.79,0,ORD-004761_P-0053_3_6_7.79,False,
ORD-003146,4,P-0019,24,3.48,0,ORD-003146_P-0019_4_24_3.48,False,
ORD-002502,4,P-0110,1,4.11,0,ORD-002502_P-0110_4_1_4.11,False,
ORD-002225,2,P-0012,27,3.04,10,ORD-002225_P-0012_2_27_3.04,False,
ORD-002420,5,P-0087,22,3.65,0,ORD-002420_P-0087_5_22_3.65,False,
ORD-003284,3,P-0074,29,6.89,0,ORD-003284_P-0074_3_29_6.89,False,
ORD-003106,2,P-0088,48,4.77,8,ORD-003106_P-0088_2_48_4.77,False,
ORD-004588,3,P-0052,35,3.9,5,ORD-004588_P-0052_3_35_3.9,False,
ORD-002064,1,P-0012,30,3.17,10,ORD-002064_P-0012_1_30_3.17,False,
ORD-003848,5,P-0014,46,3.25,8,ORD-003848_P-0014_5_46_3.25,False,
ORD-004666,1,P-0019,14,3.44,15,ORD-004666_P-0019_1_14_3.44,False,
ORD-002351,3,P-0045,29,5.97,0,ORD-002351_P-0045_3_29_5.97,False,
ORD-004705,1,P-0009,46,3.87,8,ORD-004705_P-0009_1_46_3.87,False,
ORD-000382,3,P-0033,35,8.07,15,ORD-000382_P-0033_3_35_8.07,False,
ORD-000825,2,P-0105,28,4.05,10,ORD-000825_P-0105_2_28_4.05,False,
ORD-001231,4,P-0083,24,3.53,8,ORD-001231_P-0083_4_24_3.53,False,
ORD-000849,2,P-0009,9,4.07,8,ORD-000849_P-0009_2_9_4.07,False,
ORD-003938,1,P-0055,13,4.88,5,ORD-003938_P-0055_1_13_4.88,False,
ORD-003371,4,P-0045,30,5.91,10,ORD-003371_P-0045_4_30_5.91,False,
ORD-005321,4,P-0087,45,3.5,8,ORD-005321_P-0087_4_45_3.5,False,
ORD-003107,4,P-0047,15,6.65,0,ORD-003107_P-0047_4_15_6.65,False,
ORD-005112,3,P-0025,44,2.93,0,ORD-005112_P-0025_3_44_2.93,False,
ORD-002260,4,P-0114,41,4.06,10,ORD-002260_P-0114_4_41_4.06,False,
ORD-003358,4,P-0011,18,1.5,0,ORD-003358_P-0011_4_18_1.5,False,
ORD-000135,4,P-0114,44,3.81,15,ORD-000135_P-0114_4_44_3.81,False,
ORD-002658,6,P-0068,34,1.47,15,ORD-002658_P-0068_6_34_1.47,False,
ORD-003198,4,P-0004,43,5.59,10,ORD-003198_P-0004_4_43_5.59,False,
ORD-001936,4,P-0011,36,1.63,10,ORD-001936_P-0011_4_36_1.63,False,
ORD-000968,1,P-0041,45,6.31,0,ORD-000968_P-0041_1_45_6.31,False,
ORD-000525,1,P-0016,12,4.92,0,ORD-000525_P-0016_1_12_4.92,False,
ORD-001098,2,P-0049,27,2.31,8,ORD-001098_P-0049_2_27_2.31,False,
ORD-003195,4,P-0081,32,6.85,5,ORD-003195_P-0081_4_32_6.85,False,
ORD-000071,3,P-0077,31,3.56,0,ORD-000071_P-0077_3_31_3.56,False,
ORD-001282,2,P-0102,48,3.37,0,ORD-001282_P-0102_2_48_3.37,False,
ORD-005608,1,P-0045,19,5.94,0,ORD-005608_P-0045_1_19_5.94,False,
ORD-004050,5,P-0046,35,2.93,0,ORD-004050_P-0046_5_35_2.93,False,
ORD-001798,3,P-0082,16,5.54,0,ORD-001798_P-0082_3_16_5.54,False,
ORD-002296,1,P-0102,5,3.36,8,ORD-002296_P-0102_1_5_3.36,False,
ORD-003241,1,P-0082,22,5.38,0,ORD-003241_P-0082_1_22_5.38,False,
ORD-003013,5,P-0065,9,6.01,0,ORD-003013_P-0065_5_9_6.01,False,
ORD-004506,1,P-0061,29,5.38,15,ORD-004506_P-0061_1_29_5.38,False,
ORD-004649,4,P-0081,17,7.17,10,ORD-004649_P-0081_4_17_7.17,False,
ORD-001931,1,P-0016,1,5.3,8,ORD-001931_P-0016_1_1_5.3,False,
ORD-001714,2,P-0114,45,3.9,0,ORD-001714_P-0114_2_45_3.9,False,
ORD-003940,2,P-0087,25,3.8,10,ORD-003940_P-0087_2_25_3.8,False,
ORD-001142,3,P-0078,16,7.98,15,ORD-001142_P-0078_3_16_7.98,False,
ORD-002354,5,P-0104,18,3.96,15,ORD-002354_P-0104_5_18_3.96,False,
ORD-001570,6,P-0097,21,6.13,8,ORD-001570_P-0097_6_21_6.13,False,
ORD-002290,6,P-0118,35,4.61,0,ORD-002290_P-0118_6_35_4.61,False,
ORD-000764,3,P-0059,5,6.18,0,ORD-000764_P-0059_3_5_6.18,False,
ORD-002493,6,P-0042,18,2.53,5,ORD-002493_P-0042_6_18_2.53,False,
ORD-004359,3,P-0107,6,5.0,0,ORD-004359_P-0107_3_6_5.0,False,
ORD-002572,3,P-0043,6,4.84,0,ORD-002572_P-0043_3_6_4.84,False,
ORD-001852,4,P-0120,11,4.78,10,ORD-001852_P-0120_4_11_4.78,False,
ORD-002050,1,P-0095,7,3.81,15,ORD-002050_P-0095_1_7_3.81,False,
ORD-001402,1,P-0071,23,8.95,0,ORD-001402_P-0071_1_23_8.95,False,
ORD-001304,3,P-0008,27,3.81,0,ORD-001304_P-0008_3_27_3.81,False,
ORD-001264,3,P-0007,37,3.55,0,ORD-001264_P-0007_3_37_3.55,False,
ORD-001822,1,P-0073,10,5.19,0,ORD-001822_P-0073_1_10_5.19,False,
ORD-003002,4,P-0044,5,1.82,0,ORD-003002_P-0044_4_5_1.82,False,
ORD-000150,4,P-0100,5,5.42,0,ORD-000150_P-0100_4_5_5.42,False,
ORD-004614,2,P-0007,8,3.68,8,ORD-004614_P-0007_2_8_3.68,False,
ORD-000906,3,P-0107,1,5.35,8,ORD-000906_P-0107_3_1_5.35,False,
ORD-005053,5,P-0088,48,4.73,15,ORD-005053_P-0088_5_48_4.73,False,
ORD-004076,1,P-0045,40,5.96,0,ORD-004076_P-0045_1_40_5.96,False,
ORD-001497,4,P-0109,42,6.0,10,ORD-001497_P-0109_4_42_6.0,False,
ORD-000699,3,P-0113,8,2.58,5,ORD-000699_P-0113_3_8_2.58,False,
ORD-003688,3,P-0061,42,5.3,0,ORD-003688_P-0061_3_42_5.3,False,
ORD-000316,2,P-0078,7,7.86,5,ORD-000316_P-0078_2_7_7.86,False,
