producto_id,nombre_producto,categoria,marca,presentacion,contenido_ml,unidades_por_caja,precio_lista
P-0091,Valle Sol 1.5L Botella,Jugos y Néctares,Valle Sol,1.5L Botella,1500.0,30,3.49
P-0092,Valle Sol 1L Caja,Jugos y Néctares,Valle Sol,1L Caja,1000.0,24,6.09
P-0093,Valle Sol 1.5L Botella,Jugos y Néctares,Valle Sol,1.5L Botella,1500.0,24,5.14
P-0094,Tropikal 300ml Botella,Jugos y Néctares,Tropikal,300ml Botella,300.0,6,5.86
P-0095,Tropikal 1L Caja,Jugos y Néctares,Tropikal,1L Caja,1000.0,24,3.97
P-0096,Valle Sol 300ml Botella,Jugos y Néctares,Valle Sol,300ml Botella,300.0,30,5.19
P-0097,Valle Sol 1.5L Botella,Jugos y Néctares,Valle Sol,1.5L Botella,1500.0,30,5.84
P-0098,Valle Sol 1L Caja,Jugos y Néctares,Valle Sol,1L Caja,1000.0,12,4.53
P-0099,Valle Sol 1L Caja,Jugos y Néctares,Valle Sol,1L Caja,1000.0,12,4.41
P-0100,Valle Sol 300ml Botella,Jugos y Néctares,Valle Sol,300ml Botella,300.0,6,5.3
P-0101,Tropikal 1L Caja,Jugos y Néctares,Tropikal,1L Caja,1000.0,24,4.79
P-0102,Valle Sol 300ml Botella,Jugos y Néctares,Valle Sol,300ml Botella,300.0,24,3.31
P-0103,Valle Sol 1L Caja,Jugos y Néctares,Valle Sol,1L Caja,1000.0,12,3.55
P-0104,Valle Sol 1L Caja,Jugos y Néctares,Valle Sol,1L Caja,1000.0,24,3.88
P-0105,Tropikal 300ml Botella,Jugos y Néctares,Tropikal,300ml Botella,300.0,24,4.06
P-0106,Valle Sol 1.5L Botella,Jugos y Néctares,Valle Sol,1.5L Botella,1500.0,12,4.3
P-0107,Tropikal 300ml Botella,Jugos y Néctares,Tropikal,300ml Botella,300.0,24,5.19
P-0108,Valle Sol 300ml Botella,Jugos y Néctares,Valle Sol,300ml Botella,300.0,12,2.17
P-0109,Hidra+ 750ml Botella,Isotónica,Hidra+,750ml Botella,750.0,30,6.2
P-0110,Andes Sport 500ml Botella,Isotónica,Andes Sport,500ml Botella,500.0,30,4.15
P-0111,Hidra+ 750ml Botella,Isotónica,Hidra+,750ml Botella,750.0,12,3.78
P-0112,Hidra+ 500ml Botella,Isotónica,Hidra+,500ml Botella,500.0,12,6.45
P-0113,Andes Sport 750ml Botella,Isotónica,Andes Sport,750ml Botella,,24,2.68
P-0114,Andes Sport 500ml Botella,Isotónica,Andes Sport,500ml Botella,,30,4.0
P-0115,Andes Sport 500ml Botella,Isotónica,Andes Sport,500ml Botella,,30,2.72
P-0116,Hidra+ 500ml Botella,Isotónica,Hidra+,500ml Botella,,6,3.87
P-0117,Hidra+ 500ml Botella,Isotónica,Hidra+,500ml Botella,0.5,24,4.38
P-0118,Andes Sport 1.5L Botella,Isotónica,Andes Sport,1.5L Botella,1.5,30,4.65
P-0119,Hidra+ 3L Botella,Isotónica,Hidra+,3L Botella,3.0,24,4.43
P-0120,Andes Sport 500ml Botella,Isotónica,Andes Sport,500ml Botella,500.0,24,4.83
P-0042,Qori Naranja 2.25L Botella,Gaseosa Sabores,Qori Naranja,2.25L Botella,2250.0,24,2.96
