orden_id,linea,producto_id,cantidad_unidades,precio_unitario,descuento_pct
ORD-005480,3,P-0104,7,3.98,15
ORD-005480,4,P-0063,36,5.04,15
ORD-001343,3,P-0068,40,1.52,10
ORD-002074,2,P-0032,29,6.38,8
ORD-004549,2,P-0069,14,1.53,10
ORD-003494,1,P-0098,34,4.34,10
ORD-004498,1,P-0053,38,7.43,0
ORD-001607,2,P-0067,46,0.0,5
ORD-004308,3,P-0040,22,6.68,15
ORD-005054,2,P-0093,43,5.32,15
ORD-001687,4,P-0019,19,3.42,8
ORD-003607,1,P-0027,34,3.81,0
ORD-005236,4,P-0052,17,3.81,0
ORD-000175,2,P-0083,13,3.6,15
ORD-004639,2,P-0028,5,6.72,8
ORD-001186,2,P-0111,28,3.65,0
ORD-001432,2,P-0106,35,4.37,0
ORD-000812,3,P-0119,9,4.43,0
ORD-005064,5,P-0098,10,4.46,5
ORD-004927,1,P-0019,7,3.4,0
ORD-005152,4,P-0103,8,3.68,5
ORD-001278,3,P-0093,48,5.33,5
ORD-004320,6,P-0050,32,4.22,10
ORD-003048,3,P-0031,42,2.98,0
ORD-001259,1,P-0079,28,6.58,0
ORD-002577,5,P-0076,23,2.39,0
ORD-000194,3,P-0066,31,2.81,0
ORD-001632,5,P-0097,41,5.82,10
ORD-004436,1,P-0120,26,4.63,0
ORD-004600,2,P-0119,5,4.39,0
ORD-003545,2,P-0088,-3,4.49,0
ORD-003700,4,P-0067,17,6.15,10
ORD-002042,4,P-0015,37,3.46,15
ORD-002124,2,P-0043,44,4.87,0
ORD-000945,2,P-0049,46,2.41,5
ORD-000748,2,P-0091,41,0.0,0
ORD-002207,6,P-0119,23,4.36,5
ORD-004101,3,P-0056,33,4.7,0
ORD-001033,3,P-0111,4,3.61,10
ORD-000247,1,P-0112,24,6.16,10
ORD-003647,1,P-0075,36,5.54,15
ORD-000147,3,P-0076,5,2.36,0
ORD-004024,1,P-0111,20,3.76,0
ORD-000420,3,P-0025,46,2.97,0
ORD-004754,2,P-0017,29,3.31,0
ORD-001883,4,P-0117,32,4.33,0
ORD-001740,2,P-0118,41,4.78,0
ORD-001857,4,P-0095,7,4.15,0
ORD-000435,5,P-0068,1,1.5,5
ORD-002102,3,P-0100,7,5.25,10
ORD-002300,3,P-0055,26,4.9,0
ORD-001991,5,P-0113,41,2.61,10
ORD-000760,2,P-0114,11,4.07,15
ORD-003494,6,P-0010,40,6.17,15
ORD-002568,2,P-0103,25,3.41,15
ORD-005185,3,P-0050,22,4.52,5
ORD-005005,1,P-0044,5,1.94,0
ORD-005510,1,P-0009,11,4.02,0
ORD-003246,5,P-0067,25,5.97,0
ORD-002212,3,P-0107,45,5.39,0
ORD-005310,6,P-0070,24,1.52,0
ORD-001566,3,P-0033,24,8.15,0
ORD-004549,1,P-0027,12,3.93,0
ORD-003838,5,P-0084,18,4.02,0
ORD-003487,2,P-0011,40,1.56,0
ORD-002365,1,P-0061,13,5.27,5
ORD-000470,4,P-0037,39,0.0,10
ORD-002201,4,P-0096,12,5.23,15
ORD-000774,4,P-0111,28,3.97,0
ORD-000522,6,P-0116,10,3.91,10
ORD-004086,4,P-0113,27,2.8,15
ORD-003272,1,P-0033,19,7.6,5
ORD-001930,4,P-0048,42,1.67,8
ORD-005242,6,P-0025,45,2.87,5
ORD-000815,2,P-0040,47,6.3,0
ORD-004421,2,P-0119,48,0.0,0
ORD-001984,2,P-0062,13,2.4,8
ORD-000246,2,P-0007,46,3.6,0
ORD-005121,2,P-0026,18,8.68,0
ORD-003965,1,P-0044,41,1.95,15
ORD-004295,3,P-0011,9,1.55,8
ORD-000592,4,P-0091,30,3.61,0
ORD-003909,2,P-0119,19,4.59,0
ORD-003087,1,P-0019,8,3.42,0
ORD-001177,2,P-0062,18,2.42,0
ORD-000630,2,P-0080,9,4.63,0
ORD-004564,4,P-0113,-9,2.74,0
ORD-001202,5,P-0009,11,3.76,0
ORD-000966,1,P-0039,23,6.49,0
ORD-004156,2,P-0103,29,3.58,0
ORD-001874,2,P-0049,27,0.0,10
ORD-000600,2,P-0079,5,6.83,5
ORD-000443,2,P-0097,12,5.57,5
ORD-001084,3,P-0014,29,3.18,0
ORD-002638,1,P-0037,24,7.17,15
ORD-001507,1,P-0102,11,3.18,0
ORD-002354,2,P-0014,9,3.17,15
ORD-001063,1,P-0088,23,4.64,0
ORD-005074,2,P-0060,38,4.45,10
ORD-000261,6,P-0011,21,1.62,0
ORD-001713,3,P-0045,42,6.23,5
ORD-000800,6,P-0076,36,2.28,10
ORD-003319,1,P-0056,35,4.85,15
ORD-001243,1,P-0009,42,3.98,10
ORD-003711,1,P-0110,10,4.29,0
ORD-002431,5,P-0002,19,7.91,8
ORD-004416,3,P-0082,21,5.16,10
ORD-001920,6,P-0072,38,2.76,15
ORD-000174,1,P-0066,24,2.65,0
ORD-001334,2,P-0071,15,8.93,15
ORD-004995,1,P-0002,18,8.24,10
ORD-002304,5,P-0022,27,1.69,5
ORD-005117,1,P-0103,4,3.73,5
ORD-004070,1,P-0076,12,2.34,0
ORD-001566,2,P-0070,26,1.54,5
ORD-000618,2,P-0027,38,3.84,0
ORD-005172,2,P-0064,16,5.85,8
ORD-000368,1,P-0075,8,5.81,8
ORD-003348,1,P-0055,41,5.2,0
ORD-000682,1,P-0064,13,5.86,0
ORD-004543,2,P-0082,2,5.44,10
ORD-004920,5,P-0043,6,4.98,8
ORD-000816,1,P-0047,17,6.47,15
ORD-001976,1,P-0106,30,4.32,5
ORD-001120,2,P-0104,34,3.8,0
ORD-002453,3,P-0108,1,2.19,0
ORD-001785,1,P-0010,20,6.26,0
ORD-003842,1,P-0107,24,5.33,5
ORD-003439,2,P-0089,44,6.97,15
ORD-001541,4,P-0094,23,6.0,0
ORD-003913,1,P-0045,7,5.9,10
ORD-001261,1,P-0038,44,5.47,5
ORD-002645,6,P-0066,13,2.64,15
ORD-002582,3,P-0111,31,3.69,0
ORD-004600,3,P-0052,21,3.91,0
ORD-001137,1,P-0044,2,1.96,10
ORD-002222,2,P-0062,3,2.5,0
ORD-003188,6,P-0103,24,3.56,8
ORD-001776,3,P-0099,27,4.63,0
ORD-004657,6,P-0033,20,7.82,0
ORD-004587,3,P-0019,38,3.51,5
ORD-005433,3,P-0104,10,3.93,0
ORD-001590,1,P-0097,40,5.56,0
ORD-005022,2,P-0115,13,2.67,10
ORD-002636,2,P-0102,11,3.3,0
ORD-004380,4,P-0063,24,4.73,0
ORD-004818,1,P-0069,16,1.46,0
ORD-004969,3,P-0053,19,7.52,15
ORD-004319,6,P-0045,25,6.09,5
ORD-001843,6,P-0060,23,4.2,5
ORD-005332,2,P-0107,7,5.15,0
ORD-002370,3,P-0025,36,3.06,10
ORD-000189,3,P-0068,4,1.54,10
ORD-002466,4,P-0079,4,6.71,8
ORD-003902,4,P-0015,35,3.26,0
ORD-000518,2,P-0050,22,4.34,8
ORD-005333,6,P-0054,44,4.83,10
ORD-002540,3,P-0064,45,6.39,8
ORD-000781,3,P-0002,6,8.47,0
ORD-003689,3,P-0077,20,3.53,0
ORD-000504,1,P-0085,5,7.49,10
ORD-003311,1,P-0073,11,5.04,0
ORD-001894,5,P-0084,7,4.21,5
ORD-005202,2,P-0114,29,4.0,0
ORD-003304,6,P-0016,27,5.03,5
ORD-005307,1,P-0120,5,5.04,0
ORD-003614,2,P-0017,10,3.51,8
ORD-004532,1,P-0019,40,3.62,15
ORD-004840,1,P-0034,38,7.49,0
ORD-003325,5,P-0079,34,6.33,5
ORD-005082,5,P-0113,41,2.58,5
ORD-000419,1,P-0050,38,4.22,8
ORD-004634,4,P-0012,5,3.08,0
ORD-004686,3,P-0086,8,6.5,0
ORD-002717,1,P-0050,1,4.52,0
ORD-004468,6,P-0062,18,2.46,8
ORD-002037,3,P-0111,19,3.82,5
ORD-002547,4,P-0089,31,6.75,0
ORD-003002,3,P-0101,26,4.79,5
ORD-003281,5,P-0008,30,3.75,15
ORD-003248,1,P-0119,28,4.27,0
ORD-004180,2,P-0081,21,7.51,8
ORD-001851,4,P-0074,37,7.27,8
ORD-003917,1,P-0045,39,6.24,15
ORD-002355,4,P-0084,12,4.13,0
ORD-002684,3,P-0018,7,2.86,5
ORD-000047,1,P-0015,8,3.28,15
ORD-003967,1,P-0068,46,1.47,0
ORD-003656,3,P-0120,37,4.67,0
ORD-000044,3,P-0095,37,3.82,5
ORD-001491,3,P-0053,19,0.0,5
ORD-001452,3,P-0053,21,7.39,15
ORD-004130,2,P-0021,1,3.88,15
ORD-004248,1,P-0103,48,3.42,0
ORD-003419,1,P-0105,31,4.04,10
ORD-003432,5,P-0040,23,6.36,10
ORD-001405,1,P-0095,1,3.98,5
ORD-003730,1,P-0096,45,4.97,5
ORD-002323,3,P-0009,5,4.1,5
ORD-003718,2,P-0011,27,1.63,10
ORD-003881,6,P-0083,34,3.74,0
ORD-003320,4,P-0061,43,5.24,0
ORD-004454,2,P-0998,25,2.27,15
ORD-002170,1,P-0088,3,4.64,15
ORD-005301,5,P-0042,47,2.52,0
ORD-004761,3,P-0053,6,7.79,0
ORD-003146,4,P-0019,24,3.48,0
ORD-002502,4,P-0110,1,4.11,0
ORD-002225,2,P-0012,27,3.04,10
ORD-002420,5,P-0087,22,3.65,0
ORD-003284,3,P-0074,29,6.89,0
ORD-003106,2,P-0088,48,4.77,8
ORD-004588,3,P-0052,35,3.9,5
ORD-002064,1,P-0012,30,3.17,10
ORD-003848,5,P-0014,46,3.25,8
ORD-004666,1,P-0019,14,3.44,15
ORD-002351,3,P-0045,29,5.97,0
ORD-004705,1,P-0009,46,3.87,8
ORD-000382,3,P-0033,35,8.07,15
ORD-000825,2,P-0105,28,4.05,10
ORD-001231,4,P-0083,24,3.53,8
ORD-000849,2,P-0009,9,4.07,8
ORD-003938,1,P-0055,13,4.88,5
ORD-003371,4,P-0045,30,5.91,10
ORD-005321,4,P-0087,45,3.5,8
ORD-003107,4,P-0047,15,6.65,0
ORD-005112,3,P-0025,44,2.93,0
ORD-002260,4,P-0114,41,4.06,10
ORD-003358,4,P-0011,18,1.5,0
ORD-000135,4,P-0114,44,3.81,15
ORD-002658,6,P-0068,34,1.47,15
ORD-003198,4,P-0004,43,5.59,10
ORD-001936,4,P-0011,36,1.63,10
ORD-000968,1,P-0041,45,6.31,0
ORD-000525,1,P-0016,12,4.92,0
ORD-001098,2,P-0049,27,2.31,8
ORD-003195,4,P-0081,32,6.85,5
ORD-000071,3,P-0077,31,3.56,0
ORD-001282,2,P-0102,48,3.37,0
ORD-005608,1,P-0045,19,5.94,0
ORD-004050,5,P-0046,35,2.93,0
ORD-001798,3,P-0082,16,5.54,0
ORD-002296,1,P-0102,5,3.36,8
ORD-003241,1,P-0082,22,5.38,0
ORD-003013,5,P-0065,9,6.01,0
ORD-004506,1,P-0061,29,5.38,15
ORD-004649,4,P-0081,17,7.17,10
ORD-001931,1,P-0016,1,5.3,8
ORD-001714,2,P-0114,45,3.9,0
ORD-005148,5,P-0118,-10,4.69,0
ORD-003940,2,P-0087,25,3.8,10
ORD-001142,3,P-0078,16,7.98,15
ORD-002354,5,P-0104,18,3.96,15
ORD-001570,6,P-0097,21,6.13,8
ORD-002290,6,P-0118,35,4.61,0
ORD-000764,3,P-0059,5,6.18,0
ORD-002493,6,P-0042,18,2.53,5
ORD-004359,3,P-0107,6,5.0,0
ORD-002823,1,P-0119,34,0.0,0
ORD-002572,3,P-0043,6,4.84,0
ORD-001852,4,P-0120,11,4.78,10
ORD-002050,1,P-0095,7,3.81,15
ORD-001402,1,P-0071,23,8.95,0
ORD-001304,3,P-0008,27,3.81,0
ORD-001264,3,P-0007,37,3.55,0
ORD-001822,1,P-0073,10,5.19,0
ORD-003002,4,P-0044,5,1.82,0
ORD-000150,4,P-0100,5,5.42,0
ORD-004614,2,P-0007,8,3.68,8
ORD-000906,3,P-0107,1,5.35,8
ORD-005053,5,P-0088,48,4.73,15
ORD-004076,1,P-0045,40,5.96,0
ORD-001497,4,P-0109,42,6.0,10
ORD-000699,3,P-0113,8,2.58,5
ORD-003688,3,P-0061,42,5.3,0
ORD-000316,2,P-0078,7,7.86,5
ORD-002120,2,P-0041,33,6.64,0
ORD-001870,5,P-0013,40,2.74,0
ORD-001222,2,P-0092,31,6.38,15
ORD-002539,1,P-0117,44,4.44,8
ORD-002179,1,P-0050,9,4.15,5
ORD-005405,3,P-0090,47,7.39,0
ORD-004220,2,P-0015,12,3.25,0
ORD-001499,4,P-0108,31,2.11,10
ORD-003930,3,P-0042,44,2.53,15
ORD-005107,1,P-0086,44,6.45,0
ORD-002767,3,P-0086,24,6.58,10
ORD-004834,4,P-0034,11,8.13,0
ORD-002055,6,P-0034,38,7.71,0
ORD-002081,2,P-0079,7,6.65,5
ORD-003813,3,P-0059,40,6.2,0
ORD-003901,1,P-0097,39,5.9,0
ORD-002935,2,P-0039,2,6.78,0
ORD-003390,1,P-0100,18,5.45,0
ORD-004343,6,P-0032,11,6.21,0
ORD-000782,4,P-0079,6,6.78,0
ORD-000357,4,P-0027,36,3.96,8
ORD-003742,1,P-0045,13,0.0,10
ORD-005465,4,P-0080,34,4.3,15
ORD-004463,1,P-0070,12,1.59,0
ORD-003674,4,P-0112,8,6.43,8
ORD-001288,1,P-0074,5,7.14,8
ORD-000207,3,P-0058,2,6.27,0
ORD-004938,5,P-0058,5,6.28,15
ORD-003299,1,P-0016,41,5.37,0
ORD-003366,5,P-0069,43,1.49,0
ORD-004960,6,P-0047,2,6.76,0
ORD-002998,1,P-0030,27,2.4,15
ORD-002596,5,P-0010,35,6.31,15
ORD-003470,2,P-0005,7,5.8,8
ORD-001552,1,P-0106,19,4.22,15
ORD-000262,1,P-0044,13,1.94,5
ORD-001535,3,P-0006,35,4.65,15
ORD-003791,2,P-0011,4,1.52,0
ORD-001803,2,P-0079,18,6.28,5
ORD-002946,1,P-0047,1,6.5,0
ORD-001893,4,P-0040,30,6.88,0
ORD-001055,1,P-0042,14,2.55,0
ORD-002631,1,P-0071,11,9.0,0
ORD-004672,1,P-0092,9,5.89,0
ORD-005495,3,P-0118,14,4.65,0
ORD-004982,2,P-0058,10,6.16,15
ORD-004465,3,P-0016,25,4.94,0
ORD-000568,3,P-0047,28,6.7,0
ORD-004403,4,P-0050,37,4.18,0
ORD-002285,1,P-0095,29,4.15,15
ORD-000951,3,P-0063,37,4.86,5
ORD-005062,2,P-0061,27,5.23,5
ORD-000513,1,P-0111,13,3.72,15
ORD-001702,1,P-0067,41,6.55,5
ORD-002130,1,P-0063,22,4.75,0
ORD-005431,1,P-0040,10,6.51,15
ORD-002290,5,P-0040,36,6.37,5
ORD-003907,1,P-0048,46,1.66,10
ORD-001025,2,P-0054,26,5.01,15
ORD-001549,1,P-0052,20,3.7,5
ORD-002306,1,P-0079,46,6.63,0
ORD-003981,3,P-0087,7,3.82,10
ORD-000914,1,P-0099,39,4.48,5
ORD-000203,3,P-0017,7,3.51,0
ORD-000042,1,P-0115,18,2.6,0
ORD-002058,5,P-0046,1,2.95,15
ORD-000795,3,P-0114,43,3.8,10
ORD-004135,1,P-0035,29,6.08,0
ORD-001632,3,P-0038,6,5.38,8
ORD-003618,2,P-0098,44,4.58,0
ORD-002359,4,P-0063,20,4.8,10
ORD-004169,4,P-0048,4,1.65,0
ORD-001535,4,P-0034,6,7.48,10
ORD-002105,1,P-0068,36,1.46,5
ORD-002137,1,P-0060,40,4.2,0
ORD-001077,1,P-0016,1,5.11,0
ORD-005269,3,P-0997,47,6.13,5
ORD-001976,2,P-0030,25,2.3,0
ORD-004477,1,P-0024,10,3.03,0
ORD-001126,1,P-0059,47,6.24,0
ORD-005194,5,P-0075,25,5.48,0
ORD-001321,2,P-0055,48,4.82,15
ORD-001017,4,P-0064,48,5.9,10
ORD-000998,4,P-0109,28,5.92,0
ORD-003119,5,P-0120,12,4.91,8
ORD-002265,1,P-0047,43,6.61,10
ORD-003745,1,P-0049,8,2.49,8
ORD-002682,6,P-0060,16,4.13,10
ORD-002824,1,P-0105,39,4.26,15
ORD-005254,1,P-0079,42,6.56,0
ORD-004836,2,P-0014,40,3.4,0
ORD-003942,2,P-0077,1,3.55,5
ORD-002604,3,P-0044,45,1.94,0
ORD-004902,3,P-0088,16,4.49,8
ORD-003405,1,P-0022,40,1.73,10
ORD-005048,4,P-0004,11,5.65,8
ORD-000605,2,P-0053,16,7.75,0
ORD-004569,1,P-0090,47,6.84,0
ORD-002037,4,P-0050,20,4.21,5
ORD-000497,4,P-0044,35,1.81,0
ORD-001587,2,P-0050,24,4.19,15
ORD-003770,2,P-0034,12,7.98,5
ORD-000257,2,P-0088,39,4.63,15
ORD-001067,1,P-0048,4,1.56,15
ORD-002641,2,P-0047,41,6.66,0
ORD-003635,2,P-0120,46,4.66,0
ORD-002174,2,P-0083,5,3.76,8
ORD-001733,5,P-0105,14,3.96,0
ORD-005518,1,P-0065,24,6.1,8
ORD-001566,1,P-0032,29,6.17,10
ORD-001245,2,P-0020,29,3.36,0
ORD-003766,1,P-0047,48,6.61,0
ORD-003602,6,P-0070,46,1.59,15
ORD-003096,3,P-0058,13,5.94,0
ORD-000369,3,P-0082,31,5.38,0
ORD-004809,1,P-0060,46,0.0,0
ORD-005129,1,P-0089,14,6.5,0
ORD-001483,2,P-0001,13,7.83,15
ORD-002889,2,P-0076,42,2.38,10
ORD-001808,3,P-0015,43,3.43,10
ORD-005556,1,P-0020,17,3.52,0
ORD-002961,4,P-0068,28,1.46,0
ORD-004271,4,P-0084,29,4.09,10
ORD-003940,4,P-0051,7,4.52,15
ORD-001649,6,P-0066,1,2.66,0
ORD-001035,2,P-0041,23,6.83,0
ORD-001303,5,P-0094,28,6.04,0
ORD-001923,2,P-0116,21,3.91,10
ORD-005403,1,P-0108,15,2.2,0
ORD-002837,5,P-0046,38,3.08,0
ORD-003084,1,P-0073,47,4.97,5
ORD-003019,4,P-0063,48,4.87,0
ORD-001931,3,P-0085,37,7.56,15
ORD-002479,3,P-0037,1,7.48,8
ORD-005222,1,P-0114,14,4.14,5
ORD-004062,5,P-0116,7,4.02,0
ORD-003121,4,P-0120,33,4.77,0
ORD-002184,1,P-0096,32,5.4,0
ORD-004871,1,P-0045,8,5.98,0
ORD-004616,3,P-0075,23,0.0,10
ORD-003793,2,P-0013,27,2.82,0
ORD-002566,1,P-0024,35,3.24,0
ORD-001786,1,P-0055,41,5.17,0
ORD-002625,2,P-0101,12,4.83,8
ORD-003227,4,P-0054,9,4.79,0
ORD-003267,1,P-0063,11,4.69,5
ORD-003122,4,P-0007,19,3.66,10
ORD-004772,4,P-0113,41,0.0,0
ORD-005336,1,P-0073,23,4.96,0
ORD-003602,2,P-0040,48,6.9,10
ORD-003276,4,P-0119,26,4.33,8
ORD-004073,4,P-0016,2,5.12,10
ORD-000257,5,P-0111,17,3.88,0
ORD-004005,1,P-0097,30,5.83,0
ORD-002864,6,P-0021,47,3.6,10
ORD-000585,5,P-0051,3,4.91,5
ORD-001691,3,P-0041,19,6.89,10
ORD-004431,1,P-0096,36,5.24,8
ORD-002607,5,P-0023,34,2.29,5
ORD-002524,2,P-0037,24,7.54,10
ORD-004610,3,P-0060,46,4.18,8
ORD-004231,1,P-0104,15,3.87,0
ORD-004307,3,P-0093,37,5.18,10
ORD-003544,3,P-0120,7,4.77,8
ORD-004067,2,P-0111,14,3.76,0
ORD-001499,1,P-0018,44,2.84,10
ORD-003465,1,P-0113,22,2.59,0
ORD-003881,3,P-0116,47,3.75,10
ORD-004388,2,P-0001,32,7.63,0
ORD-000291,3,P-0052,12,3.67,0
ORD-001580,4,P-0031,10,3.22,0
ORD-003811,1,P-0072,4,2.97,0
ORD-005158,4,P-0118,32,4.6,8
ORD-002973,2,P-0057,13,7.15,0
ORD-004084,1,P-0047,29,6.69,8
ORD-002131,2,P-0005,2,5.72,0
ORD-003956,1,P-0064,18,5.9,0
ORD-005603,5,P-0079,5,6.29,0
ORD-000331,1,P-0065,10,6.05,0
ORD-001598,1,P-0027,45,3.72,0
ORD-002028,2,P-0076,20,2.27,0
ORD-005382,3,P-0008,5,3.62,5
ORD-003187,2,P-0102,28,3.45,0
ORD-001860,4,P-0120,40,4.87,10
ORD-001836,3,P-0002,11,7.95,0
ORD-001719,4,P-0078,21,8.24,15
ORD-001025,1,P-0003,22,4.54,0
ORD-002945,3,P-0120,16,4.84,0
ORD-003435,4,P-0015,5,3.19,15
ORD-001424,1,P-0106,4,4.28,0
ORD-002788,2,P-0023,15,2.45,5
ORD-003244,1,P-0114,36,4.0,15
ORD-000983,2,P-0041,46,6.35,0
ORD-005492,3,P-0098,23,4.63,0
ORD-002295,1,P-0089,16,6.42,0
ORD-005532,1,P-0085,20,7.33,10
ORD-003442,2,P-0051,39,4.55,0
ORD-001480,3,P-0020,16,3.34,0
ORD-001196,2,P-0035,24,5.99,15
ORD-000372,3,P-0064,43,6.41,10
ORD-003766,2,P-0072,39,2.95,8
ORD-002867,3,P-0067,2,6.11,0
ORD-002875,1,P-0101,37,4.63,0
ORD-004009,4,P-0063,23,5.11,0
ORD-001286,1,P-0117,42,4.57,5
ORD-002279,4,P-0019,1,3.56,0
ORD-001002,1,P-0096,18,5.42,8
ORD-003815,2,P-0095,-5,4.16,15
ORD-000824,6,P-0008,32,3.5,10
ORD-003585,5,P-0045,45,6.12,15
ORD-004289,1,P-0062,19,2.38,0
ORD-001796,2,P-0042,15,2.48,10
ORD-004299,2,P-0052,46,3.91,10
ORD-001148,1,P-0095,24,3.97,0
ORD-002381,2,P-0050,2,4.44,0
ORD-004593,2,P-0073,17,5.4,8
ORD-004590,1,P-0020,18,3.33,0
ORD-002551,6,P-0077,19,3.8,0
ORD-001858,4,P-0036,29,3.09,15
ORD-005216,2,P-0022,43,1.59,15
ORD-004984,2,P-0029,42,2.81,0
ORD-004894,2,P-0070,12,1.54,0
ORD-004716,3,P-0037,30,7.29,10
ORD-001678,4,P-0010,42,6.38,15
ORD-001282,1,P-0109,1,6.43,8
ORD-002769,6,P-0050,38,4.42,15
ORD-004428,1,P-0050,47,4.4,0
ORD-001708,4,P-0110,47,3.99,0
ORD-005304,1,P-0059,14,6.17,15
ORD-003501,4,P-0063,8,5.07,0
ORD-002964,6,P-0066,20,2.67,0
ORD-001868,1,P-0021,14,3.67,0
ORD-003004,4,P-0081,6,7.33,0
ORD-005430,6,P-0109,42,6.42,0
ORD-003569,2,P-0111,32,3.67,0
ORD-001151,1,P-0115,25,2.71,0
ORD-002415,1,P-0086,38,6.36,8
ORD-004900,3,P-0082,40,5.35,0
ORD-005292,2,P-0071,6,8.3,0
ORD-004523,1,P-0045,40,6.31,0
ORD-002244,1,P-0086,42,6.34,5
ORD-002207,1,P-0045,36,5.8,0
ORD-001387,6,P-0003,23,4.48,0
ORD-003852,3,P-0049,33,2.44,0
ORD-004535,1,P-0065,18,5.88,0
ORD-002162,1,P-0035,19,6.35,5
ORD-002261,2,P-0075,8,5.63,0
ORD-003571,1,P-0053,-5,7.08,0
ORD-005251,1,P-0109,46,0.0,5
ORD-001346,3,P-0011,25,1.58,0
ORD-003575,1,P-0014,24,3.11,5
ORD-004783,2,P-0096,37,0.0,10
ORD-000261,5,P-0057,44,7.11,0
ORD-003151,2,P-0027,24,3.78,0
ORD-005323,1,P-0072,28,2.8,0
ORD-003674,3,P-0110,43,4.1,0
ORD-004076,3,P-0030,13,2.47,0
ORD-005214,2,P-0048,18,1.65,10
ORD-004375,2,P-0117,47,4.33,10
ORD-003281,6,P-0102,14,3.3,5
ORD-004945,3,P-0026,22,8.68,10
ORD-001150,2,P-0033,10,8.26,10
ORD-002709,3,P-0069,20,1.51,15
ORD-005024,1,P-0055,9,5.08,15
ORD-002123,4,P-0093,39,5.02,0
ORD-004094,1,P-0041,19,6.36,0
ORD-000317,2,P-0002,22,8.51,8
ORD-003302,2,P-0068,42,1.47,8
ORD-003584,2,P-0099,35,4.3,0
ORD-003123,1,P-0021,40,3.63,15
ORD-001681,1,P-0062,45,2.44,10
ORD-003197,2,P-0010,42,6.59,10
ORD-001729,4,P-0053,3,7.18,0
ORD-001199,3,P-0051,31,4.51,10
ORD-000001,3,P-0009,32,4.05,15
ORD-003088,3,P-0020,2,3.39,0
ORD-004085,3,P-0073,46,5.38,8
ORD-005471,5,P-0087,23,3.62,8
ORD-005200,1,P-0028,43,6.95,0
ORD-001301,1,P-0015,47,3.44,10
ORD-003378,3,P-0061,43,5.16,0
ORD-004712,1,P-0067,21,6.12,8
ORD-004128,4,P-0116,7,3.97,0
ORD-001722,1,P-0001,23,7.15,5
ORD-002981,1,P-0020,7,3.34,0
ORD-002401,4,P-0064,32,5.97,0
ORD-005029,2,P-0079,42,6.76,0
ORD-000642,4,P-0006,2,4.92,15
ORD-003980,4,P-0063,21,5.11,8
ORD-002375,2,P-0038,10,5.66,10
ORD-004050,1,P-0104,39,3.8,15
ORD-003694,2,P-0088,19,4.6,10
ORD-000896,2,P-0051,40,4.85,5
ORD-002328,1,P-0077,46,3.88,5
ORD-001827,1,P-0056,36,4.89,0
ORD-000297,6,P-0088,28,4.64,5
ORD-004440,1,P-0118,25,4.47,0
ORD-001666,3,P-0027,16,3.98,0
ORD-003363,2,P-0026,25,8.63,0
ORD-003127,5,P-0033,7,8.15,0
ORD-002764,1,P-0019,23,3.68,5
ORD-003813,1,P-0039,-8,6.66,0
ORD-004793,1,P-0014,42,3.19,8
ORD-004373,6,P-0048,34,1.7,0
ORD-001594,1,P-0119,35,4.46,15
ORD-002698,3,P-0023,37,2.32,0
ORD-001843,4,P-0075,23,5.54,10
ORD-002381,5,P-0089,41,7.02,0
ORD-000125,4,P-0086,10,6.55,0
ORD-003614,1,P-0010,23,6.21,8
ORD-004146,3,P-0079,6,6.29,0
ORD-001861,1,P-0097,42,5.77,10
